,,,,,"Measures","Weighted Sum of Income Distribution - Whole Population","Weighted Sum of Income Distribution - Whole Population - RSE","Weighted Sum of Income Distribution - Whole Population - Annotations",
,,,,"Social rented sector tenants","North East (E12000001)",314986,0.00,,
,,,,,"North West (E12000002)",493827,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",479075,0.00,,
,,,,,"East Midlands (E12000004)",354639,0.00,,
,,,,,"West Midlands (E12000005)",488130,0.00,,
,,,,,"East (E12000006)",266883,0.00,,
,,,,,"London (E12000007)",652704,0.00,,
,,,,,"South East (E12000008)",597943,0.00,,
,,,,,"South West (E12000009)",369016,0.00,,
,,,,,"Wales (W92000004)",149651,0.00,,
,,,,,"Scotland (S92000003)",424012,0.00,,
,,,,,"Northern Ireland (N92000002)",86222,0.00,,
,,,,"All rented privately","North East (E12000001)",231410,0.00,,
,,,,,"North West (E12000002)",667983,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",648917,0.00,,
,,,,,"East Midlands (E12000004)",337681,0.00,,
,,,,,"West Midlands (E12000005)",611616,0.00,,
,,,,,"East (E12000006)",756211,0.00,,
,,,,,"London (E12000007)",1693459,0.00,,
,,,,,"South East (E12000008)",1191210,0.00,,
,,,,,"South West (E12000009)",526017,0.00,,
,,,,,"Wales (W92000004)",348363,0.00,,
,,,,,"Scotland (S92000003)",369595,0.00,,
,,,,,"Northern Ireland (N92000002)",221700,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",1676,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",2580,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",7554,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",1201,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",99943,0.00,,
,,,,,"North West (E12000002)",161814,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",149969,0.00,,
,,,,,"East Midlands (E12000004)",138157,0.00,,
,,,,,"West Midlands (E12000005)",90801,0.00,,
,,,,,"East (E12000006)",151202,0.00,,
,,,,,"London (E12000007)",188068,0.00,,
,,,,,"South East (E12000008)",152512,0.00,,
,,,,,"South West (E12000009)",95516,0.00,,
,,,,,"Wales (W92000004)",99605,0.00,,
,,,,,"Scotland (S92000003)",115299,0.00,,
,,,,,"Northern Ireland (N92000002)",42403,0.00,,
,,,,"All rented privately","North East (E12000001)",39449,0.00,,
,,,,,"North West (E12000002)",20146,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",22284,0.00,,
,,,,,"East Midlands (E12000004)",32622,0.00,,
,,,,,"West Midlands (E12000005)",18943,0.00,,
,,,,,"East (E12000006)",43210,0.00,,
,,,,,"London (E12000007)",35906,0.00,,
,,,,,"South East (E12000008)",82818,0.00,,
,,,,,"South West (E12000009)",20405,0.00,,
,,,,,"Wales (W92000004)",16601,0.00,,
,,,,,"Scotland (S92000003)",41027,0.00,,
,,,,,"Northern Ireland (N92000002)",20484,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",22392,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",10956,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",4674,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",7770,0.00,,
,,,,,"South East (E12000008)",3898,0.00,,
,,,,,"South West (E12000009)",1921,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",28062,0.00,,
,,,,,"East Midlands (E12000004)",28458,0.00,,
,,,,,"West Midlands (E12000005)",54005,0.00,,
,,,,,"East (E12000006)",31443,0.00,,
,,,,,"London (E12000007)",44945,0.00,,
,,,,,"South East (E12000008)",76268,0.00,,
,,,,,"South West (E12000009)",24065,0.00,,
,,,,,"Wales (W92000004)",661,0.00,,
,,,,,"Scotland (S92000003)",9393,0.00,,
,,,,,"Northern Ireland (N92000002)",1834,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",39842,0.00,,
,,,,,"North West (E12000002)",119865,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",63554,0.00,,
,,,,,"East Midlands (E12000004)",53840,0.00,,
,,,,,"West Midlands (E12000005)",70866,0.00,,
,,,,,"East (E12000006)",89477,0.00,,
,,,,,"London (E12000007)",323814,0.00,,
,,,,,"South East (E12000008)",118011,0.00,,
,,,,,"South West (E12000009)",91492,0.00,,
,,,,,"Wales (W92000004)",24949,0.00,,
,,,,,"Scotland (S92000003)",110707,0.00,,
,,,,,"Northern Ireland (N92000002)",1573,0.00,,
,,,,"All rented privately","North East (E12000001)",67362,0.00,,
,,,,,"North West (E12000002)",202162,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",72619,0.00,,
,,,,,"East Midlands (E12000004)",93340,0.00,,
,,,,,"West Midlands (E12000005)",197251,0.00,,
,,,,,"East (E12000006)",215108,0.00,,
,,,,,"London (E12000007)",374670,0.00,,
,,,,,"South East (E12000008)",299182,0.00,,
,,,,,"South West (E12000009)",206942,0.00,,
,,,,,"Wales (W92000004)",46033,0.00,,
,,,,,"Scotland (S92000003)",29644,0.00,,
,,,,,"Northern Ireland (N92000002)",19200,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",1961,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",60911,0.00,,
,,,,,"North West (E12000002)",130006,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",69021,0.00,,
,,,,,"East Midlands (E12000004)",32338,0.00,,
,,,,,"West Midlands (E12000005)",57275,0.00,,
,,,,,"East (E12000006)",24285,0.00,,
,,,,,"London (E12000007)",126831,0.00,,
,,,,,"South East (E12000008)",35686,0.00,,
,,,,,"South West (E12000009)",22945,0.00,,
,,,,,"Wales (W92000004)",39138,0.00,,
,,,,,"Scotland (S92000003)",28129,0.00,,
,,,,,"Northern Ireland (N92000002)",9382,0.00,,
,,,,"All rented privately","North East (E12000001)",23675,0.00,,
,,,,,"North West (E12000002)",20697,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",15565,0.00,,
,,,,,"East Midlands (E12000004)",27712,0.00,,
,,,,,"West Midlands (E12000005)",62535,0.00,,
,,,,,"East (E12000006)",4925,0.00,,
,,,,,"London (E12000007)",115966,0.00,,
,,,,,"South East (E12000008)",97125,0.00,,
,,,,,"South West (E12000009)",17028,0.00,,
,,,,,"Wales (W92000004)",5328,0.00,,
,,,,,"Scotland (S92000003)",20878,0.00,,
,,,,,"Northern Ireland (N92000002)",9398,0.00,,
,"In low income (below threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",30571,0.00,,
,,,,,"North West (E12000002)",82871,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",76568,0.00,,
,,,,,"East Midlands (E12000004)",54880,0.00,,
,,,,,"West Midlands (E12000005)",76183,0.00,,
,,,,,"East (E12000006)",86893,0.00,,
,,,,,"London (E12000007)",21070,0.00,,
,,,,,"South East (E12000008)",67266,0.00,,
,,,,,"South West (E12000009)",67764,0.00,,
,,,,,"Wales (W92000004)",43475,0.00,,
,,,,,"Scotland (S92000003)",56210,0.00,,
,,,,,"Northern Ireland (N92000002)",30578,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",9492,0.00,,
,,,,,"North West (E12000002)",32407,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",7772,0.00,,
,,,,,"East Midlands (E12000004)",5328,0.00,,
,,,,,"West Midlands (E12000005)",6290,0.00,,
,,,,,"East (E12000006)",4328,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",996,0.00,,
,,,,,"South West (E12000009)",8608,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",10809,0.00,,
,,,,,"Northern Ireland (N92000002)",3872,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",1124,0.00,,
,,,,,"North West (E12000002)",9826,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",24637,0.00,,
,,,,,"South East (E12000008)",2056,0.00,,
,,,,,"South West (E12000009)",33665,0.00,,
,,,,,"Wales (W92000004)",2193,0.00,,
,,,,,"Scotland (S92000003)",36927,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"All rented privately","North East (E12000001)",2023,0.00,,
,,,,,"North West (E12000002)",1657,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",3274,0.00,,
,,,,,"East Midlands (E12000004)",11748,0.00,,
,,,,,"West Midlands (E12000005)",14499,0.00,,
,,,,,"East (E12000006)",1106,0.00,,
,,,,,"London (E12000007)",4108,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",1861,0.00,,
,,,,,"Wales (W92000004)",1600,0.00,,
,,,,,"Scotland (S92000003)",10323,0.00,,
,,,,,"Northern Ireland (N92000002)",725,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",3702,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",638,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"All rented privately","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",78185,0.00,,
,,,,,"North West (E12000002)",381757,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",264775,0.00,,
,,,,,"East Midlands (E12000004)",251986,0.00,,
,,,,,"West Midlands (E12000005)",290529,0.00,,
,,,,,"East (E12000006)",306002,0.00,,
,,,,,"London (E12000007)",291524,0.00,,
,,,,,"South East (E12000008)",324611,0.00,,
,,,,,"South West (E12000009)",277321,0.00,,
,,,,,"Wales (W92000004)",220629,0.00,,
,,,,,"Scotland (S92000003)",206332,0.00,,
,,,,,"Northern Ireland (N92000002)",99793,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",33493,0.00,,
,,,,,"North West (E12000002)",200780,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",209705,0.00,,
,,,,,"East Midlands (E12000004)",169156,0.00,,
,,,,,"West Midlands (E12000005)",255999,0.00,,
,,,,,"East (E12000006)",169688,0.00,,
,,,,,"London (E12000007)",164135,0.00,,
,,,,,"South East (E12000008)",220536,0.00,,
,,,,,"South West (E12000009)",156569,0.00,,
,,,,,"Wales (W92000004)",41907,0.00,,
,,,,,"Scotland (S92000003)",163852,0.00,,
,,,,,"Northern Ireland (N92000002)",57849,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",125490,0.00,,
,,,,,"North West (E12000002)",296482,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",155169,0.00,,
,,,,,"East Midlands (E12000004)",231726,0.00,,
,,,,,"West Midlands (E12000005)",296967,0.00,,
,,,,,"East (E12000006)",137188,0.00,,
,,,,,"London (E12000007)",211953,0.00,,
,,,,,"South East (E12000008)",322430,0.00,,
,,,,,"South West (E12000009)",178900,0.00,,
,,,,,"Wales (W92000004)",122400,0.00,,
,,,,,"Scotland (S92000003)",371279,0.00,,
,,,,,"Northern Ireland (N92000002)",25995,0.00,,
,,,,"All rented privately","North East (E12000001)",111595,0.00,,
,,,,,"North West (E12000002)",242124,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",163107,0.00,,
,,,,,"East Midlands (E12000004)",135637,0.00,,
,,,,,"West Midlands (E12000005)",244463,0.00,,
,,,,,"East (E12000006)",85889,0.00,,
,,,,,"London (E12000007)",321345,0.00,,
,,,,,"South East (E12000008)",222606,0.00,,
,,,,,"South West (E12000009)",113473,0.00,,
,,,,,"Wales (W92000004)",82798,0.00,,
,,,,,"Scotland (S92000003)",152640,0.00,,
,,,,,"Northern Ireland (N92000002)",37961,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",4384,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",1440,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",1191,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",22626,0.00,,
,,,,,"North West (E12000002)",87084,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",97872,0.00,,
,,,,,"East Midlands (E12000004)",42836,0.00,,
,,,,,"West Midlands (E12000005)",37770,0.00,,
,,,,,"East (E12000006)",47445,0.00,,
,,,,,"London (E12000007)",46097,0.00,,
,,,,,"South East (E12000008)",76269,0.00,,
,,,,,"South West (E12000009)",24285,0.00,,
,,,,,"Wales (W92000004)",30805,0.00,,
,,,,,"Scotland (S92000003)",50974,0.00,,
,,,,,"Northern Ireland (N92000002)",25939,0.00,,
,,,,"All rented privately","North East (E12000001)",9063,0.00,,
,,,,,"North West (E12000002)",31374,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",46270,0.00,,
,,,,,"East Midlands (E12000004)",27796,0.00,,
,,,,,"West Midlands (E12000005)",34155,0.00,,
,,,,,"East (E12000006)",8172,0.00,,
,,,,,"London (E12000007)",2376,0.00,,
,,,,,"South East (E12000008)",15647,0.00,,
,,,,,"South West (E12000009)",26607,0.00,,
,,,,,"Wales (W92000004)",8243,0.00,,
,,,,,"Scotland (S92000003)",9576,0.00,,
,,,,,"Northern Ireland (N92000002)",16168,0.00,,
"2022-23 (colp, covid2223, div)","Not in low income (at or above threshold)","Not in low income (at or above threshold)","Not in receipt","Owned outright","North East (E12000001)",634080,0.00,,
,,,,,"North West (E12000002)",1834831,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1276683,0.00,,
,,,,,"East Midlands (E12000004)",1408517,0.00,,
,,,,,"West Midlands (E12000005)",1538470,0.00,,
,,,,,"East (E12000006)",1567960,0.00,,
,,,,,"London (E12000007)",1676807,0.00,,
,,,,,"South East (E12000008)",2292799,0.00,,
,,,,,"South West (E12000009)",1495279,0.00,,
,,,,,"Wales (W92000004)",864534,0.00,,
,,,,,"Scotland (S92000003)",1267683,0.00,,
,,,,,"Northern Ireland (N92000002)",574106,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",877230,0.00,,
,,,,,"North West (E12000002)",1971697,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1648742,0.00,,
,,,,,"East Midlands (E12000004)",1629243,0.00,,
,,,,,"West Midlands (E12000005)",1588253,0.00,,
,,,,,"East (E12000006)",2192087,0.00,,
,,,,,"London (E12000007)",2573086,0.00,,
,,,,,"South East (E12000008)",3211417,0.00,,
,,,,,"South West (E12000009)",1906457,0.00,,
,,,,,"Wales (W92000004)",864946,0.00,,
,,,,,"Scotland (S92000003)",1725608,0.00,,
,,,,,"Northern Ireland (N92000002)",594998,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",222105,0.00,,
,,,,,"North West (E12000002)",472153,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",386846,0.00,,
,,,,,"East Midlands (E12000004)",328150,0.00,,
,,,,,"West Midlands (E12000005)",414602,0.00,,
,,,,,"East (E12000006)",465819,0.00,,
,,,,,"London (E12000007)",601532,0.00,,
,,,,,"South East (E12000008)",517669,0.00,,
,,,,,"South West (E12000009)",339593,0.00,,
,,,,,"Wales (W92000004)",215037,0.00,,
,,,,,"Scotland (S92000003)",520266,0.00,,
,,,,,"Northern Ireland (N92000002)",60611,0.00,,
,,,,"All rented privately","North East (E12000001)",230832,0.00,,
,,,,,"North West (E12000002)",855285,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",643920,0.00,,
,,,,,"East Midlands (E12000004)",446895,0.00,,
,,,,,"West Midlands (E12000005)",671280,0.00,,
,,,,,"East (E12000006)",718027,0.00,,
,,,,,"London (E12000007)",1600368,0.00,,
,,,,,"South East (E12000008)",1179364,0.00,,
,,,,,"South West (E12000009)",630301,0.00,,
,,,,,"Wales (W92000004)",284276,0.00,,
,,,,,"Scotland (S92000003)",525277,0.00,,
,,,,,"Northern Ireland (N92000002)",192517,0.00,,
,,,"In receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",..,0.00,,
,,,,,"East Midlands (E12000004)",..,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",..,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",..,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Buying with mortgage","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",1082,0.00,,
,,,,,"East Midlands (E12000004)",1246,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",..,0.00,,
,,,,,"London (E12000007)",..,0.00,,
,,,,,"South East (E12000008)",965,0.00,,
,,,,,"South West (E12000009)",..,0.00,,
,,,,,"Wales (W92000004)",..,0.00,,
,,,,,"Scotland (S92000003)",741,0.00,,
,,,,,"Northern Ireland (N92000002)",..,0.00,,
,,,,"Social rented sector tenants","North East (E12000001)",83162,0.00,,
,,,,,"North West (E12000002)",190696,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",155608,0.00,,
,,,,,"East Midlands (E12000004)",81453,0.00,,
,,,,,"West Midlands (E12000005)",111243,0.00,,
,,,,,"East (E12000006)",94864,0.00,,
,,,,,"London (E12000007)",143010,0.00,,
,,,,,"South East (E12000008)",157249,0.00,,
,,,,,"South West (E12000009)",89335,0.00,,
,,,,,"Wales (W92000004)",97830,0.00,,
,,,,,"Scotland (S92000003)",158494,0.00,,
,,,,,"Northern Ireland (N92000002)",53707,0.00,,
,,,,"All rented privately","North East (E12000001)",9254,0.00,,
,,,,,"North West (E12000002)",58324,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",18888,0.00,,
,,,,,"East Midlands (E12000004)",27783,0.00,,
,,,,,"West Midlands (E12000005)",13314,0.00,,
,,,,,"East (E12000006)",36694,0.00,,
,,,,,"London (E12000007)",55829,0.00,,
,,,,,"South East (E12000008)",31004,0.00,,
,,,,,"South West (E12000009)",55471,0.00,,
,,,,,"Wales (W92000004)",24203,0.00,,
,,,,,"Scotland (S92000003)",18330,0.00,,
,,,,,"Northern Ireland (N92000002)",20365,0.00,,
,,"In low income (below threshold)","Not in receipt","Owned outright","North East (E12000001)",..,0.00,,
,,,,,"North West (E12000002)",..,0.00,,
,,,,,"Yorkshire and The Humber (E12000003)",700,0.00,,
,,,,,"East Midlands (E12000004)",963,0.00,,
,,,,,"West Midlands (E12000005)",..,0.00,,
,,,,,"East (E12000006)",1790,0.00,,
